,symbol,instrument_token,date,open,high,low,close,volume
1710,OFSS,2748929,2025-07-23,8735.0,9034.5,8509.0,8664.5,943516
1711,OFSS,2748929,2025-07-30,8699.0,8699.5,8319.5,8575.0,475540
1712,OFSS,2748929,2025-08-06,8576.0,8639.0,8363.0,8513.5,326513
1713,OFSS,2748929,2025-08-13,8588.0,8718.5,8465.5,8597.0,246114
1714,OFSS,2748929,2025-08-20,8550.0,8932.0,8505.0,8530.5,566202
1715,OFSS,2748929,2025-08-28,8540.0,8565.5,8274.0,8476.5,385177
1716,OFSS,2748929,2025-09-03,8500.0,8546.5,8141.5,8413.0,449124
1717,OFSS,2748929,2025-09-10,8913.0,9950.0,8820.0,9142.5,3755539
1718,OFSS,2748929,2025-09-17,9165.0,9215.0,8860.5,9104.0,694230
1719,OFSS,2748929,2025-09-24,9088.0,9124.5,8310.0,8403.0,565593
1720,OFSS,2748929,2025-10-01,8400.0,9365.0,8377.0,9332.5,701818
1721,OFSS,2748929,2025-10-08,9270.0,9382.0,8921.0,8950.0,836271
1722,OFSS,2748929,2025-10-15,8974.5,9073.0,8550.0,8620.5,619400
1723,OFSS,2748929,2025-10-23,8730.5,8740.0,8505.0,8601.5,669840
1724,OFSS,2748929,2025-10-29,8621.0,8706.5,8591.0,8612.5,166021
1725,UNIONBANK,2752769,2025-07-23,138.94,141.85,130.93,132.73,67664067
1726,UNIONBANK,2752769,2025-07-30,132.82,133.89,127.14,127.98,60014635
1727,UNIONBANK,2752769,2025-08-06,128.15,137.0,127.81,135.54,49231063
1728,UNIONBANK,2752769,2025-08-13,136.0,137.75,133.71,137.53,31012603
1729,UNIONBANK,2752769,2025-08-20,137.02,138.55,128.94,129.67,41207073
1730,UNIONBANK,2752769,2025-08-28,129.58,129.58,124.64,127.66,30302532
1731,UNIONBANK,2752769,2025-09-03,128.0,130.59,125.45,127.24,31545898
1732,UNIONBANK,2752769,2025-09-10,127.9,136.48,127.87,134.29,49583708
1733,UNIONBANK,2752769,2025-09-17,134.5,141.56,134.0,140.2,66645253
1734,UNIONBANK,2752769,2025-09-24,140.6,141.63,133.9,138.51,42256341
1735,UNIONBANK,2752769,2025-10-01,139.19,140.45,135.29,138.54,38950080
1736,UNIONBANK,2752769,2025-10-08,139.25,141.0,135.72,137.0,38080240
1737,UNIONBANK,2752769,2025-10-15,137.24,142.8,135.8,141.66,40115502
1738,UNIONBANK,2752769,2025-10-23,142.0,147.73,140.8,147.07,43292536
1739,UNIONBANK,2752769,2025-10-29,148.0,150.8,140.8,142.32,44552543
1740,CANBK,2763265,2025-07-23,108.05,115.7,106.3,110.09,221376721
1741,CANBK,2763265,2025-07-30,110.46,110.54,105.75,107.46,117874368
1742,CANBK,2763265,2025-08-06,107.99,110.25,106.11,109.55,94192796
