,SYMBOL,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
35,ABB,2025-11-25,5042.5,5092.0,5035.0,5065.0,5070.5,179842,9109.11,14304, 115279, 64.10
36,ABB,2025-11-26,5070.5,5206.5,5058.0,5190.0,5197.5,157689,8143.73,18456, 79511, 50.42
37,ABB,2025-11-27,5235.0,5264.5,5188.5,5260.0,5240.5,123457,6447.26,13791, 54480, 44.13
38,ABB,2025-11-28,5260.0,5260.5,5170.0,5178.0,5175.0,82669,4302.6,11247, 46125, 55.79
39,ABB,2025-12-01,5218.0,5219.5,5148.5,5193.0,5189.5,68252,3535.99,12324, 29309, 42.94
40,ABB,2025-12-02,5171.0,5221.5,5161.0,5165.0,5183.0,149427,7748.45,15861, 93846, 62.80
41,ABB,2025-12-03,5183.0,5183.0,5088.5,5120.0,5107.0,81229,4157.49,12117, 41366, 50.93
42,ABB,2025-12-04,5100.0,5182.0,5095.0,5166.0,5172.5,90233,4651.04,11590, 36514, 40.47
43,ABB,2025-12-05,5172.5,5194.0,5140.5,5180.0,5173.5,99564,5144.91,16730, 53066, 53.30
44,ABCAPITAL,2025-11-06,331.05,332.35,324.6,327.55,327.05,4018689,13156.13,50586, 1955185, 48.65
45,ABCAPITAL,2025-11-07,324.15,345.4,322.6,337.15,338.1,13494106,45435.31,75765, 6075908, 45.03
46,ABCAPITAL,2025-11-10,338.9,338.95,332.95,333.85,333.55,3483201,11688.3,41921, 1247787, 35.82
47,ABCAPITAL,2025-11-11,332.9,333.9,322.6,329.3,329.35,4844131,15863.99,68341, 1452253, 29.98
48,ABCAPITAL,2025-11-12,329.35,333.1,327.9,327.9,329.6,2257142,7477.08,34524, 1106140, 49.01
49,ABCAPITAL,2025-11-13,328.0,335.0,328.0,331.5,331.8,2993535,9942.21,50347, 1432621, 47.86
50,ABCAPITAL,2025-11-14,330.25,334.15,328.25,331.2,331.4,1639627,5433.2,24205, 679467, 41.44
51,ABCAPITAL,2025-11-17,332.5,337.1,331.3,335.9,334.8,2075864,6948.19,33152, 934239, 45.00
52,ABCAPITAL,2025-11-18,336.0,336.5,330.5,332.65,333.1,2174919,7246.24,27060, 1105318, 50.82
53,ABCAPITAL,2025-11-19,332.8,335.65,330.1,331.55,330.65,1918944,6373.2,26610, 840241, 43.79
54,ABCAPITAL,2025-11-20,331.95,332.9,327.1,327.9,327.85,1938976,6391.02,29914, 814353, 42.00
55,ABCAPITAL,2025-11-21,327.0,328.9,324.2,325.0,325.65,2675777,8728.3,47122, 1369263, 51.17
56,ABCAPITAL,2025-11-24,325.65,333.95,323.3,332.0,331.85,3631529,12037.13,41518, 1528239, 42.08
57,ABCAPITAL,2025-11-25,333.95,346.8,332.3,345.9,345.45,12471895,42722.73,103055, 5367915, 43.04
58,ABCAPITAL,2025-11-26,346.95,350.8,344.4,349.2,349.8,5456898,19007.78,51927, 2073495, 38.00
59,ABCAPITAL,2025-11-27,350.0,353.4,349.4,352.8,351.75,3510742,12329.36,52016, 1507515, 42.94
